2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Continent with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#MountainRange with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#MountainRange with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Ridge with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Ridge with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Dam with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Dam with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class urn:hotelscombined-type#City with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class urn:hotelscombined-type#City with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Restaurant with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Restaurant with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Library with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Library with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Zoo with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Zoo with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Garden with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Garden with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Mall with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Mall with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Bridge with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Bridge with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#University with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#University with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Tunnel with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Tunnel with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Sea with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Sea with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Cave with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Cave with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Windmill with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Windmill with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Bay with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Bay with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Gulf with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Gulf with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Fjord with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Fjord with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/resource/Beach with list
